area;location;price;rooms;square_price;source;title
98;Opština Vračar , Hram svetog Save , Internacionalnih brigada;286000;3.5;2918;halooglasi;Internacionalnih brigada
100;Opština Novi Beograd , Blok 64 , Gandijeva;280000;4.0;2800;halooglasi;4.0 stan u blok 64 100m2+11m2 ID#1760
33;Opština Zvezdara , Konjarnik , Bulevar Kralja Aleksandra;91000;1.0;2758;halooglasi;Zvezdara, Bulevar Kralja Aleksandra, 33m2, 1.0 ID#
153;Opština Novi Beograd , Blok 61 , Dr Ivana Ribara;175000;5.0;1144;halooglasi;Dr Ivana Ribara, Blok 61, Novi Beograd
73;Opština Novi Beograd , Hotel Jugoslavija , Bulevar maršala Tolbuhina;215000;3.0;2945;halooglasi;Bulevar Maršala Tolbuhina (73m2+38m2), Hotel YU
74;Opština Palilula , Poštanska štedionica , 27. marta;234000;2.5;3162;halooglasi;Odličan stan, Poštanska štedionica, 27.Marta, 74m2
79;Opština Stari grad , Dunavski kej , Dunavski kej;380000;3.0;4810;halooglasi;Luksuzan stan, pogled na reku, Stari grad, 79m2
61;Opština Vračar , Hram svetog Save , Brane Crnčevića;238000;2.0;3902;halooglasi;Divan stan nadomak Hrama, Brane Crnčevića, 2.0
110;Opština Stari grad , Centar , Vlajkovićeva;370000;4.0;3364;halooglasi;Divan 4.0 salonski stan, Stari grad, Vlajkovićeva
115;Opština Stari grad , Obilićev venac , Obilićev venac;460000;4.0;4000;halooglasi;Centar - pešačka zona - Knez - Obilićev venac
80;Opština Vračar , Cvetni trg , Kralja Milana;259000;3.5;3238;halooglasi;Cvetni trg - Salonac
80;Opština Palilula , Botanička bašta , Šajkaška;219000;3.0;2738;halooglasi;Predivan 3.0 stan, Botanička bašta, 80 m2
108;Opština Stari grad , Atelje 212 , Svetogorska;293000;3.0;2718;halooglasi;Stari grad, Svetogorska ulica, salonac, 107m2
89;Opština Palilula , Centar , Bulevar despota Stefana;249000;3.5;2798;halooglasi;Izuzetan 3.5 stan, Bulevar despota Stefana, 89m2
61;Opština Palilula , Tašmajdan , Ilije Garašanina;195000;2.0;3197;halooglasi;TAŠMAJDAN Ilije Garašanina - odlična investicija
28;Opština Novi Beograd , Ledine , Višegradska;60000;1.0;2143;halooglasi;Ledine-Novi Surčin hram Sv.Mateja Novogradnja
84;Opština Voždovac , FON - Bilećka , Vojvode Stepe;297900;3.0;3567;halooglasi;Voždove kapije, luks, nov, garaža ID#1303
122;Opština Voždovac , Voždovačka crkva , Vojvode Stepe;319000;4.0;2615;halooglasi;Vojvode Stepe, novogradnja, 4.0, 3 garažna mesta!
56;Opština Zemun , Meandri , Bačka;122000;2.0;2179;halooglasi;Sunčan, lep
58;Opština Novi Beograd , Fontana , Pariske komune;150000;2.0;2586;halooglasi;Renoviran, sunčan
57;Opština Voždovac , Lekino brdo;176700;3.0;3100;halooglasi;Extra Lux stan na Lekinom brdu-bez provizije
64;Opština Zvezdara , Đeram pijaca , Pećska;215000;2.5;3359;halooglasi;Odličan, Zvezdara Đeram, cg, lift, 64m2+terasa 20,
54;Opština Rakovica , Vidikovac , Vidikovački venac;108000;2.0;2000;halooglasi;Vidikovac, Vidikovački venac, dvosoban stan
39;Opština Novi Beograd , Ledine , Oplenačka 2-5-8-10-12-14-16-18-20-22-24-26-28-30;79950;2.0;2050;halooglasi;Smart House zgrada Lux stan
81;Opština Novi Beograd , Blok 62 , Dušana Vukasovića;187000;3.0;2309;halooglasi;Stan na top lokaciji ID#128705
99;Opština Čukarica , Banovo brdo , Požeška;210000;3.0;2121;halooglasi;Požeška |crvena fasadna cigla |99m2 | 76+23 |
75;Opština Novi Beograd , Blok 63 , Nehruova;165000;3.5;2200;halooglasi;Odličan svetao stan u bloku 63 ID#1761
73;Opština Voždovac , Banjica , Bulevar oslobođenja;150000;3.0;2055;halooglasi;Banjica Bul oslobođenja 73m2 najlepsi pogled
48;Opština Rakovica , Miljakovac ,;106500;1.5;2219;halooglasi;Miljakovac - stan za svaku preporuku
108;Opština Zvezdara , Crveni krst , Pop Stojanova;180000;3.0;1667;halooglasi;Zvezdara, Crveni krst - Pop Stojanova
102;Opština Zvezdara , Lion , Subotička;337000;4.5;3304;halooglasi;Prodajemo četvoroiposoban dupleks kod Liona, 102m2
67;Opština Zvezdara , Lion , Braće Miladinov;182000;3.0;2744;halooglasi;Stan sa galerijom u visokom prizemlju
90;Opština Zvezdara , Lion , Braće Miladinov;245000;3.5;2742;halooglasi;Troiposoban penthouse
40;Opština Zvezdara , Lion , Braće Miladinov;114000;1.5;2897;halooglasi;Mali, funkcionalan stan u mirnoj ulici
50;Opština Zvezdara , Lion , Braće Miladinov;142000;2.0;2880;halooglasi;Lep, dvosoban stan
62;Opština Novi Beograd , Bežanijska kosa 3 , Kolumbova;142000;3.0;2290;halooglasi;Prodaje se stan u Kolumbovoj,uknjižen ID#82368
62;Opština Zvezdara , Učiteljsko naselje , Dr Velizara Kosanovića;135500;2.0;2185;halooglasi;Učiteljsko naselje - Dr Velizara Kosanovića
48;Opština Palilula , Hadžipopovac;168000;2.0;3529;halooglasi;Hadžopopovac, 2.0, lux novogrdnja
98;Opština Voždovac , Naselje Stepa Stepanović , Vojvode Stepe 391;289360;4.0;2953;halooglasi;Vojvode Stepe 391, Square 2, četvorosoban 98,09m
43;Opština Palilula , Hadžipopovac;148000;2.0;3498;halooglasi;Lux novogradnja, Hadžipopovac, 2.0, sa Pdv-om
61;Opština Palilula , Centar , Kneza Danila;290000;2.0;4754;halooglasi;Central Garden, lux, garaža, delimično opremljen
74;Opština Palilula , Višnjička Banja ,;140600;3.0;1900;halooglasi;Sunnyville,74m2 cena+pdv-retko u ponudi
62;Opština Novi Beograd , Bežanijska kosa 3 , Kolumbova;142000;3.0;2290;halooglasi;Stan na odličnoj lokaciji na Bežanijskoj kosi
114;Opština Stari grad , Dorćol , Cara Uroša;398300;4.0;3500;halooglasi;Četvorosoban stan, Beograd, ul. Cara Uroša
180;Opština Stari grad , Dorćol , Cara Uroša;629265;6.0;3500;halooglasi;Dupleks, Beograd, Cara Uroša
55;Opština Voždovac , Braće Jerković , Braće Jerković;140000;2.0;2545;halooglasi;Voždovac | Braće Jerković | 55m2+5m2
128;Opština Voždovac , Lekino brdo , Gospodara Vučića;250000;4.5;1953;halooglasi;Dupleks Gospodara Vucica 180
73;Opština Zvezdara , Bulevar kralja Aleksandra , Bulevar kralja Aleksandra;167200;3.0;2290;halooglasi;Ekskluzivna novogradnja kompletno opremljena
48;Opština Zvezdara , Bulevar kralja Aleksandra , Bulevar kralja Aleksandra;111000;2.0;2312;halooglasi;Opremljena novogradnja na Bulevaru
84;Opština Zvezdara , Bulevar kralja Aleksandra , Bulevar kralja Aleksandra 515;191700;3.0;2282;halooglasi;Opremljeni stan na Bulevaru - novogradnja
58;Opština Grocka , Kaluđerica , Preradovićeva br.21;92800;3.0;1600;halooglasi;Novogradnja 58mkv, dve spavace, useljiv.
45;Opština Voždovac , Lekino brdo , Gospodara Vučića;146000;2.0;3244;halooglasi;Gospodara Vučića, stan 2.0 sa garažom
65;Opština Stari grad , Kosančićev venac , Fruškogorska;250000;3.5;3846;halooglasi;Kosančićev venac, prestižna lokacija, salonac
54;Opština Voždovac , Medaković padina ,;79900;2.0;1480;halooglasi;54m2 – Medaković Padina – Beograd
77;Opština Zemun , Plavi horizonti ,;150000;3.0;1948;halooglasi;77m2 – Zemun – Plavi Horizonti, Beograd
80;Opština Savski venac , Dedinje ,;240000;3.0;3000;halooglasi;80m2 – Dedinje – kod Američke ambasade
92;Opština Novi Beograd , Blok 19a , Milentija Popovića;235000;4.0;2554;halooglasi;Blok 19a, 4.0, 92m2,Top lokacija,Parking obezbeđen
108;Opština Novi Beograd , Blok 65 , Tadije Sondermajera;413000;4.0;3855;halooglasi;Welport 3, Nov 107m2, 4.0,2Garaže, Dvostran,Pogled
77;Opština Voždovac , Braće Jerković , Meštrovićeva;179000;3.0;2325;halooglasi;Lux, Braće Jerković Meštrovićeva,3.0, Top lokacija
60;Opština Novi Beograd , Fontana , Omladinskih brigada;220000;3.5;3667;halooglasi;Fontana - 60kvm (građ.površine 68kvm)
110;Opština Rakovica , Vidikovac , Sretena Mladenovića Mike;130000;5.0;1182;halooglasi;Prodajem petosoban stan
75;Opština Novi Beograd , Blok 70 (kineski tržni centar) , Jurija Gagarina;193000;4.0;2573;halooglasi;Jurija Gagarina 82kvm (75kvm+2T)
93;Opština Palilula , Botanička bašta , Jaše Prodanovića;245000;4.0;2634;halooglasi;Palilula-Botanička bašta-Salonac-93m2+Terasa-Uknji
62;Opština Novi Beograd , Ledine ,;109120;2.5;1760;halooglasi;Ledine-Novogradnja-62m2 ID#2326
50;Opština Novi Beograd , Ledine ,;78000;2.5;1560;halooglasi;Ledine-Izvorska-Dvoiposoban-Novogradnja ID#2328
50;Opština Zemun , Altina , Ugrinovačka;99900;2.0;1998;halooglasi;Zemun Altina-Ugrinovačka-Uknjižen ID#2562
209;Opština Savski venac , Dedinje , Flore Sends;1000000;3.5;4785;halooglasi;Dedinje-Lux-Dva garažna mesta-Uknjižen ID#2596
209;Opština Savski venac , Dedinje , Flore Sends;800000;4.0;3828;halooglasi;Dedinje-Flore Sends-4.0-Dva garažna mesta-Uknjižen
70;Opština Zemun , Ćukovac;175000;3.0;2500;halooglasi;Zemun Novogradska 3.0 175000
